typical_day_id,hour,weight_days,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,carbon_emission_kg
TD_WINTER,14,120,8400.0,6480.0,35.0,1773.0767153619436,3366.7296667756236,0.0,8324.148550290129,0.0,2160.0,6480.0,0.0,-0.0,0.0,0.0,440.6464242312067,2903.954932427696,55.845287162071074,20.845287162071074,0.0,258.77009745331344,0.0,-0.0,0.0,1148.7764038830032
TD_WINTER,15,120,8715.0,7020.000000000001,40.0,3235.1814623350583,2031.647212709428,0.0,9200.374713478563,0.0,2340.0000000000005,7020.000000000001,0.0,-0.0,508.2484560953535,0.0,923.4824575217925,2903.954932427696,55.845287162071074,15.845287162071074,0.0,274.6153846153845,0.0,-0.0,0.0,2096.0740694468846
TD_WINTER,16,120,9030.0,7695.000000000001,50.0,1259.9474462839876,696.5647586432325,0.0,9638.48779507278,0.0,2565.0000000000005,7695.000000000001,0.0,-0.0,0.0,-0.0,923.4824575217925,0.0,-0.0,0.0,50.0,224.61538461538453,0.0,-0.0,0.0,816.3199504473956
TD_WINTER,17,120,9450.0,8640.0,60.0,1918.2484560953549,116.09412644053874,0.0,10295.657417464106,0.0,2880.0,8640.0,0.0,-0.0,0.0,0.0,923.4824575217925,0.0,-0.0,0.0,60.0,164.61538461538453,0.0,-0.0,0.0,1242.8331747041805
TD_WINTER,18,120,9240.0,9450.0,50.0,928.9245040492151,-0.0,0.0,10952.827039855432,0.0,3150.0,9450.0,-0.0,-0.0,0.0,508.2484560953535,388.4840826845787,0.0,-0.0,0.0,50.0,114.61538461538453,0.0,-0.0,0.0,601.8501861734865
TD_WINTER,19,120,8610.0,9720.0,35.0,0.0,-0.0,0.0,11390.94012144965,0.0,3150.0,9450.0,270.0,29.946761313220936,0.0,369.0598785503498,0.0,0.0,-0.0,0.0,35.0,79.61538461538453,0.0,-0.0,0.0,64.68500443655722
TD_WINTER,20,120,7770.0,9450.0,25.0,0.0,-0.0,0.0,12048.109743840976,0.0,3150.0,9450.0,0.0,-0.0,-0.0,0.0,-0.0,1128.109743840976,21.694418150788003,0.0,3.305581849211997,76.30980276617254,0.0,-0.0,0.0,-0.0
TD_WINTER,21,120,6825.0,9180.0,20.0,0.0,-0.0,0.0,11829.053203043868,0.0,3060.0,9180.0,0.0,-0.0,0.0,0.0,0.0,1944.053203043868,37.38563852007439,17.385638520074387,0.0,93.69544128624693,0.0,-0.0,0.0,-0.0
TD_WINTER,22,120,6090.0,8775.0,15.0,0.0,-0.0,0.0,10952.827039855432,0.0,2925.0,8775.0,0.0,-0.0,486.0433986956803,0.0,461.74122876089626,1451.7836411597525,27.91891617614909,12.91891617614909,0.0,106.61435746239601,0.0,-0.0,0.0,-0.0
TD_WINTER,23,120,5670.0,8505.0,15.0,0.0,-0.0,0.0,10076.600876666998,0.0,2835.0,8505.0,0.0,-0.0,0.0,0.0,461.74122876089626,1571.6008766669981,30.22309378205766,15.22309378205766,0.0,121.83745124445397,0.0,-0.0,0.0,-0.0
TD_TRANSITION,0,125,5200.0,5580.0,15.0,0.0,-0.0,0.0,9200.374713478563,0.0,1860.0,5580.0,0.0,-0.0,0.0,0.0,461.74122876089626,2140.3747134785626,41.16105218228005,26.161052182280052,0.0,147.99850342673403,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,1,125,5000.0,5490.0,15.0,0.0,0.0,-0.0,6830.0,3027.5443358698885,1830.0,5490.0,0.0,-0.0,0.0,0.0,461.74122876089626,0.0,-0.0,0.0,15.0,132.99850342673403,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,2,125,4800.0,5400.0,15.0,0.0,0.0,-0.0,8408.205755786536,2106.508202474679,1800.0,5400.0,0.0,-0.0,0.0,0.0,461.74122876089626,1808.2057557865353,34.773187611279525,19.773187611279525,0.0,152.77169103801356,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,3,125,4700.0,5310.0,15.0,0.0,0.0,-0.0,9451.067717771188,1501.7593220842446,1770.0,5310.0,0.0,-0.0,77.11278534349259,0.0,534.9983748372142,2903.954932427696,55.84528716207108,40.84528716207108,0.0,193.61697820008465,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,4,125,4800.0,5220.0,20.0,0.0,0.0,-0.0,9443.954932427696,1946.9851890219543,1740.0,5220.0,0.0,-0.0,0.0,0.0,534.9983748372142,2903.954932427696,55.84528716207108,35.84528716207108,0.0,229.46226536215573,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,5,125,5200.0,5400.0,25.0,0.0,116.09412644053874,0.0,9787.860805987157,1164.9662338682756,1800.0,5400.0,0.0,-0.0,0.0,0.0,534.9983748372142,2903.954932427696,55.84528716207108,30.84528716207108,0.0,260.3075525242268,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,6,125,6200.0,5850.0,40.0,0.0,696.5647586432325,0.0,10076.600876666998,0.0,1950.0,5850.0,0.0,-0.0,0.0,0.0,534.9983748372142,2623.1656353102308,50.44549298673521,10.44549298673521,0.0,270.753045510962,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,7,125,7000.0,6300.0,50.0,0.0,1741.4118966080812,0.0,8762.261631884347,0.0,2100.0,6300.0,0.0,-0.0,0.0,0.0,534.9983748372142,1403.6735284924277,26.993721701777456,0.0,23.006278298222544,247.74676721273946,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,8,125,7600.0,6120.0,55.0,0.0,3192.5884771148158,0.0,7886.035468695911,0.0,2040.0,6120.0,0.0,-0.0,0.0,0.0,534.9983748372142,1438.6239458107266,27.665845111744744,0.0,27.334154888255256,220.4126123244842,0.0,-0.0,-0.0,-0.0
